salesorderid,productid,orderqty,sum_order_qty,avg_order_qty,count_order_qty,max_order_qty,min_order_qty
43659,709,6,40,2.0000000000000000,20,6,1
43659,711,4,40,2.0000000000000000,20,6,1
43659,712,2,40,2.0000000000000000,20,6,1
43659,714,3,40,2.0000000000000000,20,6,1
43659,716,1,40,2.0000000000000000,20,6,1
43659,771,1,40,2.0000000000000000,20,6,1
43659,772,1,40,2.0000000000000000,20,6,1
43659,773,2,40,2.0000000000000000,20,6,1
43659,774,1,40,2.0000000000000000,20,6,1
43659,776,1,40,2.0000000000000000,20,6,1
43659,777,3,40,2.0000000000000000,20,6,1
43659,778,1,40,2.0000000000000000,20,6,1
43664,714,1,40,2.0000000000000000,20,6,1
43664,716,1,40,2.0000000000000000,20,6,1
43664,771,3,40,2.0000000000000000,20,6,1
43664,772,1,40,2.0000000000000000,20,6,1
43664,773,1,40,2.0000000000000000,20,6,1
43664,775,4,40,2.0000000000000000,20,6,1
43664,777,2,40,2.0000000000000000,20,6,1
43664,778,1,40,2.0000000000000000,20,6,1
