productmodelid,productmodelname,product_count,max_listprice,avg_listprice,max_to_avg_ratio
8,LL Mountain Frame,10,264.0500,256.9200000000000000,1.0277518293632259
23,Mountain-500,10,564.9900,552.4900000000000000,1.0226248438885772
15,ML Mountain Frame-W,5,364.0900,361.0240000000000000,1.0084925101932282
5,HL Mountain Frame,10,1364.5000,1357.0500000000000000,1.0054898493054788
20,Mountain-200,6,2319.9900,2307.4900000000000000,1.0054171415694109
19,Mountain-100,8,3399.9900,3387.4900000000000000,1.0036900477934990
3,Full-Finger Gloves,3,37.9900,37.9900000000000000,1.00000000000000000000
17,ML Road Frame-W,5,594.8300,594.8300000000000000,1.00000000000000000000
37,Women's Mountain Shorts,3,69.9900,69.9900000000000000,1.00000000000000000000
28,Road-450,5,1457.9900,1457.9900000000000000,1.00000000000000000000
29,Road-550-W,5,1120.4900,1120.4900000000000000,1.00000000000000000000
4,Half-Finger Gloves,3,24.4900,24.4900000000000000,1.00000000000000000000
34,Touring-1000,8,2384.0700,2384.0700000000000000,1.00000000000000000000
10,LL Touring Frame,10,333.4200,333.4200000000000000,1.00000000000000000000
35,Touring-2000,4,1214.8500,1214.8500000000000000,1.00000000000000000000
22,Mountain-400-W,4,769.4900,769.4900000000000000,1.00000000000000000000
36,Touring-3000,10,742.3500,742.3500000000000000,1.00000000000000000000
31,Road-750,4,539.9900,539.9900000000000000,1.00000000000000000000
14,ML Mountain Frame,3,348.7600,348.7600000000000000,1.00000000000000000000
13,Men's Sports Shorts,4,59.9900,59.9900000000000000,1.00000000000000000000
