productmodelid,productmodel_name,max_list_price,avg_list_price,min_list_price,product_count,ratio
8,LL Mountain Frame,264.0500,256.9200000000000000,249.7900,10,1.0277518293632259
23,Mountain-500,564.9900,552.4900000000000000,539.9900,10,1.0226248438885772
15,ML Mountain Frame-W,364.0900,361.0240000000000000,348.7600,5,1.0084925101932282
5,HL Mountain Frame,1364.5000,1357.0500000000000000,1349.6000,10,1.0054898493054788
20,Mountain-200,2319.9900,2307.4900000000000000,2294.9900,6,1.0054171415694109
19,Mountain-100,3399.9900,3387.4900000000000000,3374.9900,8,1.0036900477934990
3,Full-Finger Gloves,37.9900,37.9900000000000000,37.9900,3,1.00000000000000000000
17,ML Road Frame-W,594.8300,594.8300000000000000,594.8300,5,1.00000000000000000000
37,Women's Mountain Shorts,69.9900,69.9900000000000000,69.9900,3,1.00000000000000000000
28,Road-450,1457.9900,1457.9900000000000000,1457.9900,5,1.00000000000000000000
29,Road-550-W,1120.4900,1120.4900000000000000,1120.4900,5,1.00000000000000000000
4,Half-Finger Gloves,24.4900,24.4900000000000000,24.4900,3,1.00000000000000000000
34,Touring-1000,2384.0700,2384.0700000000000000,2384.0700,8,1.00000000000000000000
10,LL Touring Frame,333.4200,333.4200000000000000,333.4200,10,1.00000000000000000000
35,Touring-2000,1214.8500,1214.8500000000000000,1214.8500,4,1.00000000000000000000
22,Mountain-400-W,769.4900,769.4900000000000000,769.4900,4,1.00000000000000000000
36,Touring-3000,742.3500,742.3500000000000000,742.3500,10,1.00000000000000000000
31,Road-750,539.9900,539.9900000000000000,539.9900,4,1.00000000000000000000
14,ML Mountain Frame,348.7600,348.7600000000000000,348.7600,3,1.00000000000000000000
13,Men's Sports Shorts,59.9900,59.9900000000000000,59.9900,4,1.00000000000000000000
