productmodelid,productmodel_name,max_list_price,avg_list_price,product_count
8,LL Mountain Frame,264.0500,256.9200000000000000,10
23,Mountain-500,564.9900,552.4900000000000000,10
15,ML Mountain Frame-W,364.0900,361.0240000000000000,5
5,HL Mountain Frame,1364.5000,1357.0500000000000000,10
20,Mountain-200,2319.9900,2307.4900000000000000,6
19,Mountain-100,3399.9900,3387.4900000000000000,8
3,Full-Finger Gloves,37.9900,37.9900000000000000,3
17,ML Road Frame-W,594.8300,594.8300000000000000,5
37,Women's Mountain Shorts,69.9900,69.9900000000000000,3
28,Road-450,1457.9900,1457.9900000000000000,5
29,Road-550-W,1120.4900,1120.4900000000000000,5
4,Half-Finger Gloves,24.4900,24.4900000000000000,3
34,Touring-1000,2384.0700,2384.0700000000000000,8
10,LL Touring Frame,333.4200,333.4200000000000000,10
35,Touring-2000,1214.8500,1214.8500000000000000,4
22,Mountain-400-W,769.4900,769.4900000000000000,4
36,Touring-3000,742.3500,742.3500000000000000,10
31,Road-750,539.9900,539.9900000000000000,4
14,ML Mountain Frame,348.7600,348.7600000000000000,3
13,Men's Sports Shorts,59.9900,59.9900000000000000,4
