productmodelid,model_name,price_records,min_price,max_price,avg_price,ratio
5,HL Mountain Frame,22,1191.1739,1364.5000,1279.9584954545454545,1.0660501921317626
6,HL Road Frame,23,1263.4598,1431.5000,1344.0465826086956522,1.0650672517775118
9,LL Road Frame,30,297.6346,337.2200,317.0403600000000000,1.0636500665088823
20,Mountain-200,12,2049.0982,2319.9900,2183.8744500000000000,1.0623275527583557
30,Road-650,24,699.0982,782.9900,741.0441000000000000,1.0566037837694140
29,Road-550-W,10,1000.4375,1120.4900,1060.4637500000000000,1.0566037735849057
52,LL Mountain Handlebars,2,40.4909,44.5400,42.5154500000000000,1.0476191596231488
56,LL Road Handlebars,2,40.4909,44.5400,42.5154500000000000,1.0476191596231488
54,ML Mountain Handlebars,2,56.2909,61.9200,59.1054500000000000,1.0476191281853027
57,ML Road Handlebars,2,56.2909,61.9200,59.1054500000000000,1.0476191281853027
17,ML Road Frame-W,10,540.7545,594.8300,567.7922500000000000,1.0476190895525608
55,HL Mountain Handlebars,2,109.3364,120.2700,114.8032000000000000,1.0476188817036459
58,HL Road Handlebars,2,109.3364,120.2700,114.8032000000000000,1.0476188817036459
26,Road-250,13,2181.5625,2443.3500,2342.6625000000000000,1.0429799426934097
8,LL Mountain Frame,10,249.7900,264.0500,256.9200000000000000,1.0277518293632259
2,Cycling Cap,3,8.6442,8.9900,8.7594666666666667,1.02631819288845591426
33,Sport-100,9,33.6442,34.9900,34.0928000000000000,1.02631640698329266003
11,Long-Sleeve Logo Jersey,12,48.0673,49.9900,48.7082000000000000,1.0263158975285476
23,Mountain-500,10,539.9900,564.9900,552.4900000000000000,1.0226248438885772
4,Half-Finger Gloves,6,23.5481,24.4900,24.0190500000000000,1.01960735332996101011
